QUESTION,ANSWER,LEVEL,CATEGORY
Question 1,Answer 1,EASY,Gaming Technologies
Question 2,Answer 2,EASY,Web Technologies
Question 3,Answer 3,EASY,Game Technologies
Question 4,Answer 4,EASY,Gaming Technologies
Question 5,Answer 5,EASY,Gaming Technologies
Question 6,Answer 6,EASY,Web Technologies
Question 7,Answer 7,EASY,Game Technologies
Question 8,Answer 8,EASY,Programming Concepts
Question 9,Answer 9,EASY,Programming Concepts
Question 10,Answer 10,EASY,Mobile Technologies
Question 1,Answer 1,AVERAGE,Gaming Technologies
Question 2,Answer 2,AVERAGE,Web Technologies
Question 3,Answer 3,AVERAGE,Game Technologies
Question 4,Answer 4,AVERAGE,Gaming Technologies
Question 5,Answer 5,AVERAGE,Gaming Technologies
Question 6,Answer 6,AVERAGE,Web Technologies
Question 7,Answer 7,AVERAGE,Game Technologies
Question 8,Answer 8,AVERAGE,Programming Concepts
Question 9,Answer 9,AVERAGE,Programming Concepts
Question 10,Answer 10,AVERAGE,Mobile Technologies
Question 1,Answer 1,DIFFICULT,Game Technologies
Question 2,Answer 2,DIFFICULT,Gaming Technologies
Question 3,Answer 3,DIFFICULT,Web Technologies
Question 4,Answer 4,DIFFICULT,Game Technologies
Question 5,Answer 5,DIFFICULT,Gaming Technologies
Question 6,Answer 6,DIFFICULT,Gaming Technologies
Question 7,Answer 7,DIFFICULT,Web Technologies
Question 8,Answer 8,DIFFICULT,Game Technologies
Question 9,Answer 9,DIFFICULT,Programming Concepts
Question 10,Answer 10,DIFFICULT,Programming Concepts
Question 1,Answer 1,CLINCHER,Mobile Technologies
Question 2,Answer 2,CLINCHER,Game Technologies
Question 3,Answer 3,CLINCHER,Gaming Technologies
Question 4,Answer 4,CLINCHER,Web Technologies
Question 5,Answer 5,CLINCHER,Game Technologies
